participant,presentationnum,verb,condition,item,targword,question,yesno,list,version,index,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
A1299WL9DI3TEF,29,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListB,VersionC,nonrhyming,1,POKING,POKING,5,0.389,0,0.389,1.1,121.262,145.47,0.233,110.53,0.342,133.628,118.987,127.167,114.540,69.629,80.942
A1299WL9DI3TEF,29,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListB,VersionC,nonrhyming,1,DONNY,DONNY,4,0.379,0,0.379,1.48911564626,108.237,115.48,0,81.39,0.334,111.987,109.314,108.696,99.070,71.186,79.571
A1299WL9DI3TEF,29,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListB,VersionC,nonrhyming,1,sp,sp,0,0.259,0,0.259,1.86825396825,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,28.114,41.196
A1299WL9DI3TEF,30,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,2,sp,sp,1,0.589,0,0.589,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,13.983,32.382
A1299WL9DI3TEF,30,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,2,YES,YES,3,0.289,0,0.289,0.601133786848,115.969,154.36,0.032,100.44,0.189,138.200,117.645,103.337,104.597,72.008,82.316
A1299WL9DI3TEF,30,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,2,BONNIE,BONNIE,4,0.299,0,0.299,0.890476190476,121.172,145.45,0.082,117.71,0.198,--undefined--,123.254,119.683,120.649,71.551,80.791
A1299WL9DI3TEF,30,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,2,IS,IS,2,0.110,0,0.110,1.18979591837,113.941,119.26,0,106.77,0.073,118.153,113.955,108.924,--undefined--,75.714,80.121
A1299WL9DI3TEF,30,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,2,KICKING,KICKING,5,0.399,0,0.399,1.29954648526,121.619,142.16,0.113,110.98,0.364,--undefined--,130.807,124.759,114.171,67.051,82.310
A1299WL9DI3TEF,30,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,2,LAURIE,LAURIE,4,0.339,0,0.339,1.69863945578,108.643,113.64,0.00002,88.37,0.314,111.254,110.467,108.472,103.056,71.616,75.381
A1299WL9DI3TEF,30,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListB,VersionC,nonrhyming,2,sp,sp,0,0.229,0,0.229,2.03786848073,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,31.183,47.932
A1299WL9DI3TEF,31,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,2,sp,sp,1,0.389,0,0.389,0.0124716553288,103.657,145.54,0.389,89.13,0.341,--undefined--,--undefined--,--undefined--,103.657,33.323,62.141
A1299WL9DI3TEF,31,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,2,NO,NO,2,0.200,0,0.200,0.401587301587,121.085,145.54,0.002,111.54,0.200,131.935,119.791,117.196,115.418,75.964,79.077
A1299WL9DI3TEF,31,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,2,SANDY,SANDY,5,0.439,0,0.439,0.601133786848,120.986,152.80,0.162,98.84,0.042,104.131,135.810,123.554,117.190,75.547,81.845
A1299WL9DI3TEF,31,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,2,IS,IS,2,0.190,0,0.190,1.04013605442,127.593,195.00,0.163,105.64,0.113,113.811,111.292,107.904,190.341,71.676,78.865
A1299WL9DI3TEF,31,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,2,PULLING,PULLING,5,0.329,0,0.329,1.22970521542,121.193,150.44,0.070,110.55,0.293,147.114,124.769,118.450,112.833,71.484,78.416
A1299WL9DI3TEF,31,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,2,TORI,TORI,4,0.419,0,0.419,1.5589569161,116.320,143.82,0.094,99.00,0.400,129.185,118.723,115.814,111.380,72.257,78.539
A1299WL9DI3TEF,31,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,2,sp,sp,0,0.150,0,0.150,1.97800453515,112.493,112.64,0.005,112.06,0,112.493,--undefined--,--undefined--,--undefined--,52.093,57.876
A1299WL9DI3TEF,34,ItemDory,YesControl,Poke,ISDORYPOKINGDONNY,yes,ListB,VersionC,nonrhyming,1,sp,sp,1,0.439,0,0.439,0.0124716553288,167.530,167.53,0.439,167.53,0.439,--undefined--,--undefined--,--undefined--,167.530,24.181,51.549
A1299WL9DI3TEF,34,ItemDory,YesControl,Poke,ISDORYPOKINGDONNY,yes,ListB,VersionC,nonrhyming,1,YES,YES,3,0.369,0,0.369,0.451473922902,123.053,167.53,0.003,106.96,0.223,137.110,116.315,110.505,--undefined--,68.379,79.647
A1299WL9DI3TEF,34,ItemDory,YesControl,Poke,ISDORYPOKINGDONNY,yes,ListB,VersionC,nonrhyming,1,DORY,DORY,4,0.249,0,0.249,0.820634920635,126.717,155.91,0.024,121.96,0.110,139.926,123.885,123.089,124.049,76.887,80.876
A1299WL9DI3TEF,34,ItemDory,YesControl,Poke,ISDORYPOKINGDONNY,yes,ListB,VersionC,nonrhyming,1,IS,IS,2,0.120,0,0.120,1.07006802721,119.329,123.40,0,114.98,0.075,122.346,119.071,115.195,--undefined--,73.538,80.934
A1299WL9DI3TEF,34,ItemDory,YesControl,Poke,ISDORYPOKINGDONNY,yes,ListB,VersionC,nonrhyming,1,POKING,POKING,5,0.349,0,0.349,1.18979591837,124.672,156.03,0.085,105.68,0.185,155.424,126.949,126.493,118.872,67.313,79.529
A1299WL9DI3TEF,34,ItemDory,YesControl,Poke,ISDORYPOKINGDONNY,yes,ListB,VersionC,nonrhyming,1,DONNY,DONNY,4,0.399,0,0.399,1.53900226757,113.039,118.74,0.072,97.16,0.399,116.077,113.164,111.656,111.258,73.989,79.330
A1299WL9DI3TEF,34,ItemDory,YesControl,Poke,ISDORYPOKINGDONNY,yes,ListB,VersionC,nonrhyming,1,sp,sp,0,0.140,0,0.140,1.9380952381,95.323,97.16,0,94.58,0.007,95.323,--undefined--,--undefined--,--undefined--,42.313,54.174
A1299WL9DI3TEF,35,ItemBonnie,Verb,Kick,ISBONNIELIFTINGLAURIE,no,ListB,VersionC,nonrhyming,1,sp,sp,1,0.509,0,0.509,0.0124716553288,152.846,152.85,0.509,152.85,0.509,--undefined--,--undefined--,--undefined--,152.846,25.190,55.718
A1299WL9DI3TEF,35,ItemBonnie,Verb,Kick,ISBONNIELIFTINGLAURIE,no,ListB,VersionC,nonrhyming,1,NO,NO,2,0.229,0,0.229,0.521315192744,118.420,152.85,0.00002,112.96,0.126,128.209,116.766,113.887,114.817,73.758,77.382
A1299WL9DI3TEF,35,ItemBonnie,Verb,Kick,ISBONNIELIFTINGLAURIE,no,ListB,VersionC,nonrhyming,1,BONNIE,BONNIE,4,0.359,0,0.359,0.750793650794,115.351,121.00,0.104,106.49,0.020,110.384,116.615,117.053,117.352,75.492,79.540
