"","presentationnum","participant","verb","condition","word","word_num","duration","meanIntensity","meanpit"
"239",82,"A1299WL9DI3TEF","ItemDory","YesControl","sp",1,0.339,"21.387","--undefined--"
"240",82,"A1299WL9DI3TEF","ItemDory","YesControl","YES",2,0.369,"65.979","124.166"
"241",82,"A1299WL9DI3TEF","ItemDory","YesControl","DORY",3,0.299,"71.290","123.436"
"242",82,"A1299WL9DI3TEF","ItemDory","YesControl","IS",4,0.08,"74.955","116.030"
"243",82,"A1299WL9DI3TEF","ItemDory","YesControl","sp",5,0.03,"60.276","--undefined--"
"244",82,"A1299WL9DI3TEF","ItemDory","YesControl","POKING",6,0.409,"65.654","124.046"
"245",82,"A1299WL9DI3TEF","ItemDory","YesControl","DONNY",7,0.379,"70.663","112.444"
"246",82,"A1299WL9DI3TEF","ItemDory","YesControl","sp",8,0.16,"27.367","--undefined--"
"247",84,"A1299WL9DI3TEF","ItemBilly","Agent","sp",1,0.329,"18.989","--undefined--"
"248",84,"A1299WL9DI3TEF","ItemBilly","Agent","NO",2,0.22,"74.357","121.011"
"249",84,"A1299WL9DI3TEF","ItemBilly","Agent","BILLY",3,0.359,"72.732","122.303"
"250",84,"A1299WL9DI3TEF","ItemBilly","Agent","IS",4,0.13,"75.175","111.543"
"251",84,"A1299WL9DI3TEF","ItemBilly","Agent","KISSING",5,0.359,"69.305","123.999"
"252",84,"A1299WL9DI3TEF","ItemBilly","Agent","ANDY",6,0.369,"69.846","110.950"
"253",84,"A1299WL9DI3TEF","ItemBilly","Agent","sp",7,0.16,"29.286","--undefined--"
"254",8,"A1299WL9DI3TEF","ItemDory","Verb","sp",1,0.629,"25.082","--undefined--"
"255",8,"A1299WL9DI3TEF","ItemDory","Verb","NO",2,0.309,"73.352","116.137"
"256",8,"A1299WL9DI3TEF","ItemDory","Verb","DORY",3,0.329,"72.143","114.598"
"257",8,"A1299WL9DI3TEF","ItemDory","Verb","IS",4,0.11,"62.892","110.842"
